COUNTRY,CITY,VALUE
US,San Antonio,42
US,Saint Paul,21
US,Denver,42
US,San Francisco,13
US,Madison,14
US,Salem,77
US,Philadelphia,35
US,San Diego,55
US,Columbus,22
IN,New Delhi,314
IN,Chennai,135
US,Salt Lake City,10
US,Albuquerque,25
IN,Nashik,160
US,Atlanta,31
US,Seattle,63
US,Manhattan,40
US,Dallas,33
US,Brooklyn,38
IN,Chandigarh,163
US,Providence,13
IN,Bhopal,175
US,Springfield,49
US,Staten Island,25
US,Omaha,17
US,El Paso,50
IN,Hyderabad,161
US,Miami,21
US,Jacksonville,53
US,Phoenix,38
US,Charlotte,21
US,Tallahassee,26
US,San Jose,21
US,Las Vegas,14
US,Fort Worth,27
US,Queens,36
US,Tucson,13
US,Nashville,21
US,Detroit,22
US,Oakland,13
US,Sacramento,13
US,Little Rock,25
IN,Delhi,341
US,Baltimore,13
US,Los Angeles,44
US,Boston,21
US,Jackson,25
US,Richmond,21
US,Oklahoma City,36
US,Memphis,25
US,Boise,13
US,Austin,38
IN,Hāpur,347
US,Portland,57
IN,Patna,388
IN,Visakhapatnam,172
IN,Kolkata,235
IN,Thiruvananthapuram,130
IN,Jaipur,166
IN,Mumbai,169
IN,Muzaffarnagar,310
IN,Bengaluru,153
US,Columbia,34
US,Washington D.C.,17
US,Chicago,27
IN,Gandhinagar,172
US,Houston,40
US,Raleigh,30
IN,Ghāziābād,384
US,Fresno,115
US,Hartford,21
US,Milwaukee,20
US,Indianapolis,19
IN,Lucknow,305
US,Honolulu,21
US,Miami,15
US,Oklahoma City,62
US,Indianapolis,56
US,Denver,34
US,Oakland,17
US,Jacksonville,29
IN,New Delhi,217
US,El Paso,34
IN,Delhi,222
IN,Chandigarh,116
IN,Hyderabad,157
US,Omaha,59
US,Boise,38
US,Austin,21
US,Richmond,35
US,Providence,34
US,Fresno,52
US,Jackson,36
US,Houston,31
US,Staten Island,37
US,Chicago,33
US,San Jose,13
US,Memphis,33
US,Washington D.C.,45
US,Portland,44
US,Honolulu,13
US,Columbia,45
US,Hartford,32
US,Columbus,40
US,Raleigh,42
US,Brooklyn,43
US,Saint Paul,59
US,Salt Lake City,53
US,Sacramento,38
US,Boston,46
US,Charlotte,45
US,Los Angeles,34
US,Atlanta,55
US,Detroit,45
US,Milwaukee,42
US,San Francisco,17
US,Fort Worth,25
IN,Hāpur,199
US,San Diego,31
US,Salem,30
US,Albuquerque,40
IN,Jaipur,122
IN,Mumbai,153
IN,Visakhapatnam,138
US,Queens,40
US,Tallahassee,28
IN,Nashik,101
IN,Chennai,93
IN,Bhopal,164
US,Las Vegas,30
US,Phoenix,38
IN,Gandhinagar,159
IN,Lucknow,205
US,San Antonio,28
IN,Ghāziābād,203
US,Seattle,37
US,Tucson,25
IN,Patna,212
US,Philadelphia,50
IN,Muzaffarnagar,179
IN,Thiruvananthapuram,105
US,Nashville,38
US,Baltimore,57
US,Manhattan,38
