Employee_ID,Country,Salary
1,USA,115000
2,USA,118000
3,USA,120000
4,USA,119500
5,USA,122000
6,USA,117500
7,USA,121000
8,USA,120500
9,USA,118500
10,USA,119000
11,USA,120000
12,USA,121500
13,USA,118000
14,USA,122000
15,USA,120000
16,USA,119500
17,USA,121000
18,USA,120500
19,USA,118500
20,USA,119000
21,USA,120000
22,USA,121500
23,USA,118000
24,USA,122000
25,USA,120000
26,USA,119500
27,USA,121000
28,USA,120500
29,USA,118500
30,USA,119000
31,USA,120000
32,USA,121500
33,USA,118000
34,USA,122000
35,USA,120000
36,USA,119500
37,USA,121000
38,USA,120500
39,USA,118500
40,USA,119000
